Metric,AgeDB mean,AgeDB std,LFW mean,LFW std,Δ mean,KS stat,Significant (p<0.001)
mean_brightness,119.33,26.93,115.33,22.56,+4.00,0.0941,Yes
std_brightness,58.89,13.80,51.83,10.62,+7.06,0.2575,Yes
mean_saturation,56.60,51.28,103.58,27.33,-46.98,0.4551,Yes
contrast,58.89,13.80,51.83,10.62,+7.06,0.2575,Yes
colorfulness,21.69,21.04,40.37,11.32,-18.68,0.4828,Yes
laplacian_var,1135.17,1158.40,242.93,176.99,+892.25,0.6452,Yes
edge_density,0.16,0.04,0.13,0.03,+0.03,0.3238,Yes
file_size_kb,6.17,0.97,5.26,0.57,+0.91,0.4804,Yes
mean_r,132.05,28.83,137.83,25.14,-5.78,0.1076,Yes
mean_g,115.22,28.04,108.73,22.65,+6.49,0.1356,Yes
mean_b,107.09,30.89,90.22,23.34,+16.87,0.2721,Yes
